# Part W7: the fields decided by a word count after a change of variables, one line per field.
# Columns: discriminant, prime p, p-class rank, coefficient field q of the change of variables, certificate file.
# The certificate records the change of variables and the high terms of the completed basis; see records/p3/flag-certificates/FORMAT.md.
discriminant	p	rank	q	certificate
-69709283	3	3	3	records/p3/flag-certificates/69709283.json
-69768715	3	3	3	records/p3/flag-certificates/69768715.json
-69933299	3	3	3	records/p3/flag-certificates/69933299.json
-70061912	3	3	3	records/p3/flag-certificates/70061912.json
-70177623	3	3	3	records/p3/flag-certificates/70177623.json
-70502371	3	3	3	records/p3/flag-certificates/70502371.json
-70853099	3	3	3	records/p3/flag-certificates/70853099.json
-71153643	3	3	3	records/p3/flag-certificates/71153643.json
-71227880	3	3	3	records/p3/flag-certificates/71227880.json
-71253620	3	3	9	records/p3/flag-certificates/71253620.json
-71525815	3	3	3	records/p3/flag-certificates/71525815.json
-71527667	3	3	3	records/p3/flag-certificates/71527667.json
-71545411	3	3	9	records/p3/flag-certificates/71545411.json
-71603795	3	3	3	records/p3/flag-certificates/71603795.json
-71655143	3	3	27	records/p3/flag-certificates/71655143.json
-71659867	3	3	3	records/p3/flag-certificates/71659867.json
-71662359	3	3	3	records/p3/flag-certificates/71662359.json
-71911464	3	3	3	records/p3/flag-certificates/71911464.json
-72128884	3	3	3	records/p3/flag-certificates/72128884.json
-72222184	3	3	9	records/p3/flag-certificates/72222184.json
-72673979	3	3	3	records/p3/flag-certificates/72673979.json
-72691603	3	3	3	records/p3/flag-certificates/72691603.json
-72839983	3	3	3	records/p3/flag-certificates/72839983.json
-72903379	3	3	3	records/p3/flag-certificates/72903379.json
-72972579	3	3	3	records/p3/flag-certificates/72972579.json
-73046319	3	3	3	records/p3/flag-certificates/73046319.json
-73086555	3	3	3	records/p3/flag-certificates/73086555.json
-73097403	3	3	3	records/p3/flag-certificates/73097403.json
-73123807	3	3	81	records/p3/flag-certificates/73123807.json
-73509431	3	3	3	records/p3/flag-certificates/73509431.json
-73539679	3	3	3	records/p3/flag-certificates/73539679.json
-73816115	3	3	3	records/p3/flag-certificates/73816115.json
-73831256	3	3	3	records/p3/flag-certificates/73831256.json
-73892607	3	3	3	records/p3/flag-certificates/73892607.json
-74251236	3	3	3	records/p3/flag-certificates/74251236.json
-74343019	3	3	3	records/p3/flag-certificates/74343019.json
-74428948	3	3	3	records/p3/flag-certificates/74428948.json
