discriminant	field	max_head_degree	head_words
-148447176	3	7	12
-148459339	3	8	12
-148590251	9	8	12
-148670884	3	8	12
-148826372	3	8	10
-148847668	3	7	10
-148917919	3	4	4
-148919560	9	6	10
-149065343	3	6	10
-149126459	3	7	11
-149168660	3	8	12
-149225315	3	6	10
-149292411	3	8	10
-149499255	3	6	9
-149614899	81	8	12
-149839763	3	7	11
-149845791	3	7	10
-149876552	3	8	10
-149896580	3	6	9
-149898920	81	7	12
-149969224	3	8	13
-150029755	81	8	12
-150037588	3	6	9
-150102607	9	9	15
-150119711	3	10	18
-150248959	27	8	12
-150266123	3	8	12
-150517588	3	8	13
-150560363	3	8	10
-150811763	3	8	10
-150978931	3	8	12
-151213531	3	6	10
-151285703	9	9	13
-151310607	9	7	12
-151326223	3	8	11
-151328355	81	8	12
-151418068	3	7	12
-151431927	3	6	9
-151601656	3	6	9
-151793279	3	8	11
-151931352	3	8	12
-152129903	3	8	15
-152141831	3	6	10
-152170691	3	8	13
-152326968	3	9	13
-152566824	3	6	10
-152590867	3	8	10
-152714811	3	6	9
-152816443	243	8	12
-152905127	3	6	10
-153042728	3	7	12
-153198052	3	9	13
-153302195	3	7	9
-153313240	3	8	12
-153480415	3	7	12
-153519367	3	8	12
-153943012	9	7	12
-154046179	3	6	10
-154287143	3	6	10
-154377755	3	8	12
-154481732	3	7	10
-154698484	3	6	9
-154876207	3	8	12
-154983683	3	8	13
-155025784	3	11	20
-155075539	3	8	11
-155118372	3	8	11
-155125299	3	8	10
-155128595	9	9	13
-155183059	3	8	13
-155329032	9	8	12
-155523399	3	8	13
-155535991	3	7	10
-155631895	3	7	12
-155694552	3	8	12
-155849707	3	6	10
-156042111	3	7	9
-156057779	3	8	12
-156143667	3	8	12
-156193879	3	8	10
-156225839	3	7	12
-156396211	3	6	9
-156418328	3	6	10
-156532271	3	6	10
-156684559	9	7	12
-156971831	3	7	12
-157096916	3	5	9
-157196355	3	6	10
-157236043	3	8	12
-157301587	3	7	7
-157315523	9	8	12
-157316487	3	6	10
-157658059	3	6	10
-157734627	3	8	10
-157759203	3	7	12
-157790728	3	8	10
-157818392	3	8	12
-157925364	3	6	10
-158030527	3	8	12
-158043283	3	8	12
-158410088	9	8	12
-158480488	3	8	10
-158568063	3	7	11
-158712740	3	7	12
-158907844	3	7	12
-159035703	3	8	12
-159059928	3	7	12
-159120831	3	8	11
-159183431	3	8	12
-159264212	3	6	10
-159518299	3	7	11
-159552807	9	8	12
-159566963	3	8	13
-159919223	3	8	13
-159937095	3	8	14
-159977627	3	8	12
-159983764	3	8	13
-160005791	3	6	10
-160203255	3	6	10
-160265044	3	8	10
-160327995	3	11	18
-160496276	3	6	10
-160504687	3	7	12
-160747208	3	8	12
-160794955	3	6	9
-161268388	3	7	12
-161434111	3	6	10
-161631311	3	8	12
-162002355	3	11	18
-162102223	3	6	9
-162404267	3	8	12
-162632559	3	8	12
-162705839	3	8	12
-162763288	3	8	10
-162856443	3	7	9
-162898612	3	8	14
-162946099	3	8	11
-163076963	3	6	10
-163092068	3	8	12
-163466895	3	8	12
-163742451	3	6	10
-163766039	27	8	12
-163904980	3	7	12
-163967847	3	8	13
-164016836	9	5	6
-164081444	3	10	17
-164176007	3	6	10
-164346863	3	6	10
-164379379	3	8	14
-164677748	3	7	12
-164782543	3	9	13
-164831348	3	6	10
-164922935	3	6	10
-164952155	3	6	10
-165077195	3	8	12
-165190723	3	6	10
-165241615	3	8	13
-165279163	3	8	13
-165352883	3	7	12
-165450503	3	8	10
-165487636	3	8	12
-165578919	3	8	10
-165626148	3	8	11
-165641871	9	8	12
-165803188	3	7	12
-165899471	3	8	13
-166008856	6561	8	12
-166194779	3	6	9
-166449560	3	6	10
-166662296	3	7	12
